Wine brand name,fixed acidity,volatile acidity,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,sulphates,alcohol,quality,quality
Chateau Margaux,7.4,0.7,1.9,0.076,11,34,0.9978,0.56,9.4,5,5
Penfolds,7.8,0.88,2.6,0.098,25,67,0.9968,0.68,9.8,5,5
Moët & Chandon,7.8,0.76,2.3,0.092,15,54,0.997,0.65,9.8,5,5
Opus One,11.2,0.28,1.9,0.075,17,60,0.998,0.58,9.8,6,6
Cloudy Bay,7.4,0.7,1.9,0.076,11,34,0.9978,0.56,9.4,5,5
Caymus Vineyards,7.4,0.66,1.8,0.075,13,40,0.9978,0.56,9.4,5,5
Kendall-Jackson,7.9,0.6,1.6,0.069,15,59,0.9964,0.46,9.4,5,5
Beringer,7.3,0.65,1.2,0.065,15,21,0.9946,0.47,10,7,7
Yellow Tail,7.8,0.58,2,0.073,9,18,0.9968,0.57,9.5,7,7
Robert Mondavi,7.5,0.5,6.1,0.071,17,102,0.9978,0.8,10.5,5,5
Dom Pérignon,6.7,0.58,1.8,0.097,15,65,0.9959,0.54,9.2,5,5
Concha y Toro,7.5,0.5,6.1,0.071,17,102,0.9978,0.8,10.5,5,5
Casillero del Diablo,5.6,0.615,1.6,0.089,16,59,0.9943,0.52,9.9,5,5
Santa Margherita,7.8,0.61,1.6,0.114,9,29,0.9974,1.56,9.1,5,5
La Crema,8.9,0.62,3.8,0.176,52,145,0.9986,0.88,9.2,5,5
Silver Oak,8.9,0.62,3.9,0.17,51,148,0.9986,0.93,9.2,5,5
Torres,8.5,0.28,1.8,0.092,35,103,0.9969,0.75,10.5,7,7
Cakebread Cellars,8.1,0.56,1.7,0.368,16,56,0.9968,1.28,9.3,5,5
Antinori,7.4,0.59,4.4,0.086,6,29,0.9974,0.5,9,4,4
Vega Sicilia,7.9,0.32,1.8,0.341,17,56,0.9969,1.08,9.2,6,6
